id,title,genres,year,keywords,cast,director,vote_average,release_date,popularity
348094,Rajjo,"Romance, Drama",2013,,"Kangana Ranaut, Prakash Raj, Mahesh Manjrekar",Vishwas Patil,3.0,2013-11-15,1.1187
69346,Zeher,Thriller,2005,"adultery, infidelity","Emraan Hashmi, Shamita Shetty, Udita Goswami",Mohit Suri,5.3,2005-03-25,1.0234
173726,Kalyug,Drama,1981,"police, dinner","Rekha, Shashi Kapoor, Anant Nag",Shyam Benegal,7.2,1981-03-05,1.0227
346940,Wajood,Drama,1998,,"Nana Patekar, Madhuri Dixit, Mukul Dev",N. Chandra,5.0,1998-12-11,1.0225
254418,Shaadi Ke Side Effects,"Comedy, Romance",2014,marriage crisis,"Farhan Akhtar, Vidya Balan, Vir Das",Saket Chaudhary,5.3,2014-02-28,1.1265
166012,Sangharsh,Thriller,1999,serial killer,"Ashutosh Rana, Preity Zinta, Vishwajeet Pradhan",Tanuja Chandra,4.87,1999-09-03,1.022
352099,Bangistan,"Comedy, Drama",2015,,"Ritesh Deshmukh, Pulkit Samrat, Rajesh Sharma",Karan Anshuman,5.9,2015-08-07,1.0207
590397,Bhuj: The Pride of India,"War, History, Action, Drama",2021,"indian war, india pakistan war, war","Ajay Devgn, Sonakshi Sinha, Sanjay Dutt",Abhishek Dudhaiya,5.5,2021-08-13,1.4773
732886,14 Phere,"Comedy, Romance, Drama",2021,,"Vikrant Massey, Kriti Kharbanda, Gauahar Khan",Devanshu Singh,6.1,2021-07-23,1.1603
65106,The Great Gambler,"Action, Crime, Romance, Thriller",1979,,"Amitabh Bachchan, Zeenat Aman, Neetu Singh",Shakti Samanta,4.7,1979-04-06,1.0179
306400,Do Raaste,"Drama, Romance",1969,,"Rajesh Khanna, Mumtaz Askari, Prem Chopra",Raj Khosla,7.0,1969-12-05,1.2057
25499,Jaane Bhi Do Yaaro,"Comedy, Crime",1983,india,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve",Kundan Shah,7.0,1983-08-12,1.0151
202635,Silsiilay,Drama,2005,,"Bhumika Chawla, Rahul Bose, Divya Dutta",Khalid Mohamed,5.1,2005-06-17,1.2384
318898,Alone,Horror,2015,"supernatural, ghost, haunt","Bipasha Basu, Karan Singh Grover, Neena Gupta",Bhushan Patel,5.042,2015-01-16,1.0112
77864,That Girl in Yellow Boots,"Crime, Drama, Mystery, Thriller",2011,"gangster, mumbai (bombay), india, searching for love, abusive stepfather","Kalki Koechlin, Naseeruddin Shah, Gulshan Devaiah",Anurag Kashyap,5.7,2011-09-02,1.416
968748,Neeyat,"Crime, Thriller, Mystery",2023,"whodunit, murder mystery","Vidya Balan, Ram Kapoor, Rahul Bose",Anu Menon,5.0,2023-07-07,1.6255
1001241,Yaariyan 2,"Romance, Drama, Family",2023,remake,"Divya Khosla Kumar, Yash Daasguptaa, Meezaan Jafri",Radhika Rao,4.4,2023-10-20,1.0104
550488,Dassehra,Thriller,2018,"police investigation, suicide investigation","Neil Nitin Mukesh, Tina Desai, Govind Namdeo",Manish Vatsalya,10.0,2018-10-26,1.0102
1173033,Yeh Shaadi Nahi Ho Sakti,,2023,,"Prajakta Koli, Shikha Talsania, Chaitanya Sharma",Akarsh Khurana,5.0,2023-02-19,0.9564
56338,7 Khoon Maaf,"Drama, Mystery, Thriller",2011,"murder, murder mystery","Priyanka Chopra Jonas, Vivaan Shah, Konkona Sen Sharma",Vishal Bhardwaj,6.173,2011-02-18,1.5625
209410,Shuddh Desi Romance,"Drama, Romance",2013,,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor",Maneesh Sharma,5.7,2013-09-06,1.4293
103073,Ardh Satya,"Drama, Crime",1983,,"Om Puri, Smita Patil, Amrish Puri",Govind Nihalani,7.0,1983-08-19,1.0087
77924,Tell Me O Kkhuda,Family,2011,,"Esha Deol, Dharmendra, Vinod Khanna",Hema Malini,2.8,2011-10-27,1.3465
1214123,Zakir Khan: Mannpasand,Comedy,2023,stand-up comedy,Zakir Khan,Nishant Nayak,8.4,2023-12-07,1.008
65521,Pyaar Ka Punchnama,"Drama, Comedy, Romance",2011,,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma",Luv Ranjan,6.764,2011-05-20,1.0071
140896,Son of Sardaar,"Action, Comedy, Romance",2012,,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt",Ashwni Dhir,4.6,2012-11-13,1.0065
403540,Mirzya,"Romance, Drama, Fantasy",2016,folktale,"Harshvardhan Kapoor, Saiyami Kher, Art Malik",Rakeysh Omprakash Mehra,6.2,2016-10-07,1.0052
514586,Photograph,"Drama, Romance",2019,"affectation, aggressive, zealous, calm, candid, absurd, dramatic, critical, whimsical, admiring, adoring, ambiguous, ambivalent, appreciative, approving, assertive, awestruck, compassionate","Nawazuddin Siddiqui, Sanya Malhotra, Farrukh Jaffar",Ritesh Batra,6.7,2019-03-15,1.004
802403,Ajeeb Daastaans,"Drama, Romance",2021,,"Konkona Sen Sharma, Shefali Shah, Aditi Rao Hydari",Shashank Khaitan,6.2,2021-04-16,1.1657
232711,Khauff,"Action, Thriller",2000,,"Sanjay Dutt, Manisha Koirala, Raveena Tandon",Sanjay Gupta,4.4,2000-03-02,1.0033
1046688,Apurva,"Crime, Thriller",2023,"kidnapping, road thriller, runaway woman, crime","Tara Sutaria, Dhairya Karwa, Abhishek Banerjee",Nikhil Nagesh Bhat,5.7,2023-11-15,1.0027
621005,Prassthanam,"Action, Drama",2019,,"Sanjay Dutt, Jackie Shroff, Ali Fazal",Deva Katta,6.5,2019-09-20,1.0016
166017,Saudagar,Drama,1991,love affair,"Dilip Kumar, Raaj Kumar, Vivek Mushran",Subhash Ghai,6.8,1991-08-09,1.3786
24603,All the Best: Fun Begins,"Action, Comedy, Music",2009,"mistaken identity, plan gone wrong, debt","Ajay Devgn, Sanjay Dutt, Fardeen Khan",Rohit Shetty,6.1,2009-10-16,1.3498
850180,Lost,Drama,2023,,"Yami Gautam, Pankaj Kapur, Rahul Khanna",Aniruddha Roy Chowdhury,5.2,2023-02-16,0.9999
968748,Neeyat,"Crime, Thriller, Mystery",2023,"whodunit, murder mystery","Vidya Balan, Ram Kapoor, Rahul Bose",Anu Menon,5.0,2023-07-07,1.6255
1001241,Yaariyan 2,"Romance, Drama, Family",2023,remake,"Divya Khosla Kumar, Yash Daasguptaa, Meezaan Jafri",Radhika Rao,4.4,2023-10-20,1.0104
550488,Dassehra,Thriller,2018,"police investigation, suicide investigation","Neil Nitin Mukesh, Tina Desai, Govind Namdeo",Manish Vatsalya,10.0,2018-10-26,1.0102
1173033,Yeh Shaadi Nahi Ho Sakti,,2023,,"Prajakta Koli, Shikha Talsania, Chaitanya Sharma",Akarsh Khurana,5.0,2023-02-19,0.9564
56338,7 Khoon Maaf,"Drama, Mystery, Thriller",2011,"murder, murder mystery","Priyanka Chopra Jonas, Vivaan Shah, Konkona Sen Sharma",Vishal Bhardwaj,6.173,2011-02-18,1.5625
209410,Shuddh Desi Romance,"Drama, Romance",2013,,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor",Maneesh Sharma,5.7,2013-09-06,1.4293
103073,Ardh Satya,"Drama, Crime",1983,,"Om Puri, Smita Patil, Amrish Puri",Govind Nihalani,7.0,1983-08-19,1.0087
77924,Tell Me O Kkhuda,Family,2011,,"Esha Deol, Dharmendra, Vinod Khanna",Hema Malini,2.8,2011-10-27,1.3465
1214123,Zakir Khan: Mannpasand,Comedy,2023,stand-up comedy,Zakir Khan,Nishant Nayak,8.4,2023-12-07,1.008
65521,Pyaar Ka Punchnama,"Drama, Comedy, Romance",2011,,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma",Luv Ranjan,6.764,2011-05-20,1.0071
140896,Son of Sardaar,"Action, Comedy, Romance",2012,,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt",Ashwni Dhir,4.6,2012-11-13,1.0065
403540,Mirzya,"Romance, Drama, Fantasy",2016,folktale,"Harshvardhan Kapoor, Saiyami Kher, Art Malik",Rakeysh Omprakash Mehra,6.2,2016-10-07,1.0052
514586,Photograph,"Drama, Romance",2019,"affectation, aggressive, zealous, calm, candid, absurd, dramatic, critical, whimsical, admiring, adoring, ambiguous, ambivalent, appreciative, approving, assertive, awestruck, compassionate","Nawazuddin Siddiqui, Sanya Malhotra, Farrukh Jaffar",Ritesh Batra,6.7,2019-03-15,1.004
802403,Ajeeb Daastaans,"Drama, Romance",2021,,"Konkona Sen Sharma, Shefali Shah, Aditi Rao Hydari",Shashank Khaitan,6.2,2021-04-16,1.1657
232711,Khauff,"Action, Thriller",2000,,"Sanjay Dutt, Manisha Koirala, Raveena Tandon",Sanjay Gupta,4.4,2000-03-02,1.0033
1046688,Apurva,"Crime, Thriller",2023,"kidnapping, road thriller, runaway woman, crime","Tara Sutaria, Dhairya Karwa, Abhishek Banerjee",Nikhil Nagesh Bhat,5.7,2023-11-15,1.0027
621005,Prassthanam,"Action, Drama",2019,,"Sanjay Dutt, Jackie Shroff, Ali Fazal",Deva Katta,6.5,2019-09-20,1.0016
166017,Saudagar,Drama,1991,love affair,"Dilip Kumar, Raaj Kumar, Vivek Mushran",Subhash Ghai,6.8,1991-08-09,1.3786
24603,All the Best: Fun Begins,"Action, Comedy, Music",2009,"mistaken identity, plan gone wrong, debt","Ajay Devgn, Sanjay Dutt, Fardeen Khan",Rohit Shetty,6.1,2009-10-16,1.3498
850180,Lost,Drama,2023,,"Yami Gautam, Pankaj Kapur, Rahul Khanna",Aniruddha Roy Chowdhury,5.2,2023-02-16,0.9999
968748,Neeyat,"Crime, Thriller, Mystery",2023,"whodunit, murder mystery","Vidya Balan, Ram Kapoor, Rahul Bose",Anu Menon,5.0,2023-07-07,1.6255
1001241,Yaariyan 2,"Romance, Drama, Family",2023,remake,"Divya Khosla Kumar, Yash Daasguptaa, Meezaan Jafri",Radhika Rao,4.4,2023-10-20,1.0104
550488,Dassehra,Thriller,2018,"police investigation, suicide investigation","Neil Nitin Mukesh, Tina Desai, Govind Namdeo",Manish Vatsalya,10.0,2018-10-26,1.0102
1173033,Yeh Shaadi Nahi Ho Sakti,,2023,,"Prajakta Koli, Shikha Talsania, Chaitanya Sharma",Akarsh Khurana,5.0,2023-02-19,0.9564
56338,7 Khoon Maaf,"Drama, Mystery, Thriller",2011,"murder, murder mystery","Priyanka Chopra Jonas, Vivaan Shah, Konkona Sen Sharma",Vishal Bhardwaj,6.173,2011-02-18,1.5625
209410,Shuddh Desi Romance,"Drama, Romance",2013,,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor",Maneesh Sharma,5.7,2013-09-06,1.4293
103073,Ardh Satya,"Drama, Crime",1983,,"Om Puri, Smita Patil, Amrish Puri",Govind Nihalani,7.0,1983-08-19,1.0087
77924,Tell Me O Kkhuda,Family,2011,,"Esha Deol, Dharmendra, Vinod Khanna",Hema Malini,2.8,2011-10-27,1.3465
1214123,Zakir Khan: Mannpasand,Comedy,2023,stand-up comedy,Zakir Khan,Nishant Nayak,8.4,2023-12-07,1.008
65521,Pyaar Ka Punchnama,"Drama, Comedy, Romance",2011,,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma",Luv Ranjan,6.764,2011-05-20,1.0071
140896,Son of Sardaar,"Action, Comedy, Romance",2012,,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt",Ashwni Dhir,4.6,2012-11-13,1.0065
403540,Mirzya,"Romance, Drama, Fantasy",2016,folktale,"Harshvardhan Kapoor, Saiyami Kher, Art Malik",Rakeysh Omprakash Mehra,6.2,2016-10-07,1.0052
514586,Photograph,"Drama, Romance",2019,"affectation, aggressive, zealous, calm, candid, absurd, dramatic, critical, whimsical, admiring, adoring, ambiguous, ambivalent, appreciative, approving, assertive, awestruck, compassionate","Nawazuddin Siddiqui, Sanya Malhotra, Farrukh Jaffar",Ritesh Batra,6.7,2019-03-15,1.004
802403,Ajeeb Daastaans,"Drama, Romance",2021,,"Konkona Sen Sharma, Shefali Shah, Aditi Rao Hydari",Shashank Khaitan,6.2,2021-04-16,1.1657
